dimension	NMI_v723	NCS_v472	JCHEMINF_v1_0	boundary_rule
central_question	Can released molecular scores retain enough evidence for independent inspection?	Can database release dates be treated as posting times of linked records?	Does source-wide affinity correlation survive hierarchical comparison units, and does it imply within-target ranking or calibrated quantitative transfer?	The Journal of Cheminformatics manuscript remains a measurement-validity and external-generalization study.
primary_object	Released score artifacts and evidence bundles	Release records, linked records, and timestamps	External ligand-protein affinity pairs, predictions, errors, intervals, grouping structures, and matched null contrasts	Release artifacts and evidence clocks do not enter the outcome model.
unit_of_analysis	Released output or audit question	Release-record-document linkage	Affinity pair with connected-document, scaffold, exact-protein, and protein-cluster dependence	Statistical inference uses predictive and hierarchical molecular units only.
core_outcome	Evidence retention and answer identifiability	Timestamp mismatch and chronology semantics	Source-wide and within-context rank, point accuracy against fixed references, calibration, coverage, composition sensitivity, and permutation contrasts	Prediction failure is not reframed as governance or chronology.
main_exposure	Evidence retained by a release contract	Choice of timestamp or evidence clock	External source, cold-start category, comparison unit, model specification, assay-context alignment, and geometry alignment	No release-contract or timestamp exposure is reused.
study_design	Released-output reconstruction	Cross-record chronology analysis	Frozen external predictions plus retrospective hierarchical decomposition, crossed-dependence inference, influence diagnostics, and outcome-blind temporal validation	Shared hashes and infrastructure appear only as provenance.
headline_claim	Scores can outlive the evidence needed to inspect them	Release time need not equal linked-record posting time	Reproducible source-wide rank association can be dominated by between-document and between-target composition and need not establish within-target ligand ranking or calibrated transfer	No headline or conceptual framing is shared.
main_figures	Release artifacts and evidence preservation	Timestamp mismatch and evidence-clock diagrams	Hierarchical support, rank inference, covariance decomposition, composition sensitivity, conditional uncertainty, feature-null heterogeneity, and claim boundary	No governance or timestamp panel appears in Figs. 1-6.
reserved_language	release contract; evidence bundle; non-identifiability	release time; posting time; evidence clock	comparison unit; source shift; within-context rank; clustered inference; poststratification; conditional coverage	NMI/NCS reserved terms are excluded except when identifying related manuscripts.
allowed_bridge	Dataset provenance only	Dataset provenance only	Frozen hashes, database identifiers, overlap counts, rights restrictions, and related-manuscript disclosure	A provenance statement cannot become a conceptual contribution.
disease_or_candidate_case	not required	not required	No DMD/HDAC6, disease mechanism, ADMET, target nomination, or therapeutic candidate validation	Disease and therapeutic branches cannot be reused as evidence.
publication_identity	release-auditability manuscript	evidence-chronology manuscript	hierarchical external-validation and benchmark-measurement manuscript	Title, abstract, estimands, figures, and conclusions remain independently identifiable.
overlap_audit_action	Disclose as related manuscript	Disclose as related manuscript	Upload both manuscripts if submitted or in review and provide this matrix to the corresponding author	Editors decide publication overlap; this matrix does not replace disclosure.
