module	item	REFORMS_requirement	status	package_location	assessment_or_required_action
Study goals	1a	State the population or distribution about which the scientific claim is made	pass	Abstract; Introduction; Methods: Study design and outcome-access chronology	Claim is restricted to the sampled BindingDB-to-ChEMBL37/BioLiP-MOAD external-transfer setting and benchmark-validity implications.
Study goals	1b	Describe the motivation for choosing this population or distribution	pass	Introduction; Methods: Development data and external sources	Two molecular databases with different curation and affinity distributions test source transport rather than one random split.
Study goals	1c	Describe the motivation for using ML methods	pass	Introduction; Methods: Model specifications and claim boundary	ML predictions are the measurement object used to separate aggregate association from within-context ordering and calibrated transfer.
Computational reproducibility	2a	Identify training and evaluation datasets with a persistent link or DOI	partial	Table 1; Table S6; release_materials/DATA_AND_CODE_AVAILABILITY_DRAFT.md	Database versions and hashes are recorded; the final public archive DOI and restricted-source access route remain pending.
Computational reproducibility	2b	Identify code and the exact reported version with a persistent link or DOI	partial	scripts/; qc/; release_materials/REPRODUCIBILITY_COMMANDS.md	Versioned scripts are packaged; a permanent repository DOI has not yet been minted.
Computational reproducibility	2c	Describe hardware, operating system, software versions, dependencies, and runtime	pass	qc/V1_7_COMPUTE_ENVIRONMENT.txt; qc/V1_7_R_SESSION_INFO.txt; qc/V1_7_FIGURE_BUILD_STATUS.json	Machine and R environment are captured; approximate build runtimes are reported in the environment record.
Computational reproducibility	2d	Provide a README with instructions for generating results	pass	README_FIRST.md; release_materials/PUBLIC_RELEASE_README.md	Entry points, evidence roles, restrictions, and commands are documented.
Computational reproducibility	2e	Provide a reproduction script for all reported results	partial	scripts/build_v1_7_scientific_upgrade.R; scripts/build_v1_7_figures.R; release_materials/REPRODUCIBILITY_COMMANDS.md	All figures rebuild from releasable aggregate tables; complete row-level analysis additionally requires rights-controlled BioLiP/MOAD inputs.
Data quality	3a	Report data sources, collection time, ground-truth process, and documentation	pass	Methods; Table 1; Table S6	Database releases, endpoint construction, chronology, and source roles are stated separately.
Data quality	3b	Describe the sampling frame	partial	Methods; Table 1; Discussion	Database inclusion frames are described, but curated databases are not probability samples of a clinical or medicinal-chemistry deployment population.
Data quality	3c	Justify why the datasets are useful for the modeling task	pass	Introduction; Methods	The sources provide exact-Kd external pairs and distinct source composition needed for transport and measurement-validity tests.
Data quality	3d	Define the outcome and provide descriptive statistics	pass	Methods: Development data and external sources; Table 1; Fig. 1C	The endpoint is pKd from eligible exact Kd, with source-specific range, mean, SD, and tail counts.
Data quality	3e	Report the number of samples	pass	Abstract; Results; Table 1	Counts are reported at pair, ligand, scaffold, protein, protein-cluster, and document-component levels.
Data quality	3f	Report missing-data percentages	pass	Methods: Development data and external sources; derived/V1_7_SOURCE_DATA_PROFILE.tsv	Included ledgers have complete outcome and prediction fields and use no imputation; ineligible or unresolved records are excluded by frozen upstream rules.
Data quality	3g	Justify representativeness for the scientific target population	partial	Discussion: limitations; V1_7_SCIENCE_ADVANCES_READINESS_AUDIT.md	The paper explicitly rejects broad deployment representativeness and requires temporal matched-target confirmation.
Data preprocessing	4a	Identify excluded samples and justify exclusions	pass	Methods; Table S6	Exact-Kd eligibility, recognized units, identity resolution, and prohibited post-error deletion are recorded.
Data preprocessing	4b	Describe handling of impossible or corrupt samples	partial	Methods: Primary-source traceability; Fig. S10	Risk flags and prediction-blind review queues exist, but zero independent human adjudications are signed.
Data preprocessing	4c	Describe transformations from raw data to model-ready data	pass	Methods; Table S1; Table S6	pKd conversion, standardization, scaffold and protein grouping, feature construction, aggregation, and fallback rules are documented.
Modeling	5a	Describe all models, features, model types, and losses	pass	Methods: Model specifications and claim boundary; Table S1	All six specifications including the constant reference, dimensions, objectives, and analytic roles are listed.
Modeling	5b	Justify model-type choices	pass	Introduction; Methods; Discussion	The panel probes ligand-only, protein-only, additive, interaction, and qualifier-aware representations while retaining a simple reference.
Modeling	5c	Describe model evaluation, splits, or cross-validation	pass	Methods; Table S6; protocol/V1_7_RETROSPECTIVE_ANALYSIS_PROTOCOL.json	Development fitting, frozen external transfer, cold strata, cluster bootstrap, and post-unblinding roles are separated.
Modeling	5d	Describe selection of reported models	pass	Methods; Table S1	All fixed nonreference specifications are retained; models are not omitted according to external performance.
Modeling	5e	Report tuning ranges, selection method, and final hyperparameters	pass	Table S1; protocol/V1_7_RETROSPECTIVE_ANALYSIS_PROTOCOL.json	HGB fixed parameters and AFT objective, regularization, subsampling, and frozen iteration are reported with tuning scope.
Modeling	5f	Justify comparison against appropriate baselines	partial	Methods: Performance estimands; Development-only entity priors; Fig. 4C	A frozen constant and entity priors are included; a locked matched-series or nearest-neighbor baseline is still required for prospective medicinal-chemistry utility.
Data leakage	6a	Show that preprocessing and modeling use training information only	pass	Methods: Study design and outcome-access chronology; Table S6	External outcomes were blocked for frozen prediction cycles; all later outcome-aware analyses are labeled retrospective.
Data leakage	6b	Address dependencies or duplicates between training and test data	pass	Methods; Table 1; Figs. 1 and 3	Exact-pair overlap is zero; scaffold, protein identity, ligand, and connected-document dependence are measured and included in inference.
Data leakage	6c	Justify that each feature is legitimate and does not leak the outcome	partial	Table S1; Fig. 6; Discussion	Feature provenance is documented and identity nulls are complete, but source-target-family confounding and intended-feature specificity remain unresolved.
Metrics and uncertainty	7a	Report and justify all performance metrics	pass	Methods: Performance estimands; Tables S2-S4	Rank, point accuracy, calibration, dispersion, coverage, conditional coverage, and null contrasts are reported; delta MAE is not mislabeled as decision utility.
Metrics and uncertainty	7b	Report uncertainty estimates and calculation methods	pass	Methods: Rank inference and multiplicity; Tables S2-S4	Component bootstrap, max-t intervals, multiway-cluster covariance, dependence envelopes, and finite-null uncertainty are specified.
Metrics and uncertainty	7c	Justify statistical tests and check assumptions	pass	Methods; Figs. 2, 3, 5, and 6	Rank regression, clustered dependence, paired permutations, multiplicity, and descriptive covariance limits are stated; sensitivity schemes avoid row-independence assumptions.
Generalizability and limitations	8a	Describe evidence of external validity	partial	Results; Discussion; Table 1	Two external sources support a reproducible source-wide rank association, but all v1.7 decomposition analyses are retrospective and no future temporal source has been executed.
Generalizability and limitations	8b	Describe contexts in which findings are not expected to hold	pass	Discussion; Fig. 6D; V1_7_RESULTS_AND_DECISION.md	The manuscript excludes mechanism, therapeutic efficacy, calibrated deployment, unseen-target superiority, and general architecture claims.
